run_prefix,run_id,benchmark,variant,metric,units,sample_index,total_avg,total_max,source_log
slurm-5076215,slurm-5076215-multi,multi,none,Young Pause: Pause Mark End,ms,1,0.007,0.02,run_multi_none_run100_slurm-5076215-multi.log
slurm-5076215,slurm-5076215-multi,multi,none,Young Pause: Pause Mark Start,ms,1,0.018,0.021,run_multi_none_run100_slurm-5076215-multi.log
slurm-5076215,slurm-5076215-multi,multi,none,Young Pause: Pause Mark Start (Major),ms,1,0.014,0.024,run_multi_none_run100_slurm-5076215-multi.log
slurm-5076215,slurm-5076215-multi,multi,none,Young Pause: Pause Relocate Start,ms,1,0.003,0.009,run_multi_none_run100_slurm-5076215-multi.log
slurm-5076215,slurm-5076215-multi,multi,none,Young Phase: Concurrent Mark,ms,1,48.057,444.065,run_multi_none_run100_slurm-5076215-multi.log
slurm-5076215,slurm-5076215-multi,multi,none,Young Phase: Concurrent Mark Continue,ms,1,0.0,0.0,run_multi_none_run100_slurm-5076215-multi.log
slurm-5076215,slurm-5076215-multi,multi,none,Young Phase: Concurrent Mark Free,ms,1,0.001,0.004,run_multi_none_run100_slurm-5076215-multi.log
slurm-5076215,slurm-5076215-multi,multi,none,Young Phase: Concurrent Relocate,ms,1,7.139,71.114,run_multi_none_run100_slurm-5076215-multi.log
slurm-5076215,slurm-5076215-multi,multi,none,Young Phase: Concurrent Reset Relocation Set,ms,1,0.017,0.172,run_multi_none_run100_slurm-5076215-multi.log
slurm-5076215,slurm-5076215-multi,multi,none,Young Phase: Concurrent Select Relocation Set,ms,1,6.902,60.851,run_multi_none_run100_slurm-5076215-multi.log
slurm-5076215,slurm-5076215-multi,multi,none,Young Subphase: Concurrent Mark Follow,ms,1,47.318,442.367,run_multi_none_run100_slurm-5076215-multi.log
slurm-5076215,slurm-5076215-multi,multi,none,Young Subphase: Concurrent Mark Root Colored,ms,1,0.397,1.204,run_multi_none_run100_slurm-5076215-multi.log
slurm-5076215,slurm-5076215-multi,multi,none,Young Subphase: Concurrent Mark Root Uncolored,ms,1,0.311,0.451,run_multi_none_run100_slurm-5076215-multi.log
slurm-5076215,slurm-5076215-multi,multi,none,Young Subphase: Concurrent Mark Roots,ms,1,0.738,1.696,run_multi_none_run100_slurm-5076215-multi.log
slurm-5076215,slurm-5076215-multi,multi,none,Young Subphase: Concurrent Relocate Remset FP,ms,1,6.636,66.279,run_multi_none_run100_slurm-5076215-multi.log
slurm-5076215,slurm-5076215-multi,multi,none,Young Subphase: Concurrent Roots ClassLoaderDataGraph,ms,1,0.274,0.74,run_multi_none_run100_slurm-5076215-multi.log
slurm-5076215,slurm-5076215-multi,multi,none,Young Subphase: Concurrent Roots CodeCache,ms,1,0.286,0.41,run_multi_none_run100_slurm-5076215-multi.log
slurm-5076215,slurm-5076215-multi,multi,none,Young Subphase: Concurrent Roots JavaThreads,ms,1,0.013,0.123,run_multi_none_run100_slurm-5076215-multi.log
slurm-5076215,slurm-5076215-multi,multi,none,Young Subphase: Concurrent Roots OopStorageSet,ms,1,0.012,0.154,run_multi_none_run100_slurm-5076215-multi.log
slurm-5076215,slurm-5076215-multi,multi,none,Young Subphase: Concurrent Weak Roots OopStorageSet,ms,1,0.11,0.454,run_multi_none_run100_slurm-5076215-multi.log
slurm-5076215,slurm-5076215-multi,multi,none,Contention: Mark Segment Reset Contention,ops/s,1,3.0,23.0,run_multi_none_run10_slurm-5076215-multi.log
slurm-5076215,slurm-5076215-multi,multi,none,Contention: Mark SeqNum Reset Contention,ops/s,1,1.0,9.0,run_multi_none_run10_slurm-5076215-multi.log
slurm-5076215,slurm-5076215-multi,multi,none,Critical: Allocation Stall,ops/s,1,0.0,0.0,run_multi_none_run10_slurm-5076215-multi.log
slurm-5076215,slurm-5076215-multi,multi,none,Critical: Allocation Stall,ops/s,2,0.0,0.0,run_multi_none_run10_slurm-5076215-multi.log
slurm-5076215,slurm-5076215-multi,multi,none,Critical: JNI Critical Stall,ops/s,1,0.0,0.0,run_multi_none_run10_slurm-5076215-multi.log
slurm-5076215,slurm-5076215-multi,multi,none,Critical: JNI Critical Stall,ops/s,2,0.0,0.0,run_multi_none_run10_slurm-5076215-multi.log
slurm-5076215,slurm-5076215-multi,multi,none,Critical: Relocation Stall,ops/s,1,0.0,0.0,run_multi_none_run10_slurm-5076215-multi.log
slurm-5076215,slurm-5076215-multi,multi,none,Critical: Relocation Stall,ops/s,2,0.0,0.0,run_multi_none_run10_slurm-5076215-multi.log
slurm-5076215,slurm-5076215-multi,multi,none,Major Collection: Major Collection,ms,1,583.497,1275.477,run_multi_none_run10_slurm-5076215-multi.log
slurm-5076215,slurm-5076215-multi,multi,none,Memory: Allocation Rate,MB/s,1,116.0,736.0,run_multi_none_run10_slurm-5076215-multi.log
slurm-5076215,slurm-5076215-multi,multi,none,Memory: Defragment,ops/s,1,0.0,0.0,run_multi_none_run10_slurm-5076215-multi.log
slurm-5076215,slurm-5076215-multi,multi,none,Memory: Mapped Cache Harvest,MB/s,1,0.0,0.0,run_multi_none_run10_slurm-5076215-multi.log
slurm-5076215,slurm-5076215-multi,multi,none,Memory: Out Of Memory,ops/s,1,0.0,0.0,run_multi_none_run10_slurm-5076215-multi.log
slurm-5076215,slurm-5076215-multi,multi,none,Memory: Uncommit,MB/s,1,0.0,0.0,run_multi_none_run10_slurm-5076215-multi.log
slurm-5076215,slurm-5076215-multi,multi,none,Memory: Undo Object Allocation Failed,ops/s,1,0.0,0.0,run_multi_none_run10_slurm-5076215-multi.log
