run_prefix,run_id,benchmark,variant,timestamp_ms,rss_kb,gc_reserved_kb,gc_committed_kb,heap_kb,phase,source_log
slurm-5076215,slurm-5076215-multi,multi,none,1776993875024,1311132,164497,164497,780288,Phase 3.2,monitor_multi_none_run10_slurm-5076215-multi.csv
slurm-5076215,slurm-5076215-multi,multi,none,1776993875380,1310536,153275,153275,628736,Phase 3.3,monitor_multi_none_run10_slurm-5076215-multi.csv
slurm-5076215,slurm-5076215-multi,multi,none,1776993875744,1313252,128017,128017,458752,Phase 3.4,monitor_multi_none_run10_slurm-5076215-multi.csv
slurm-5076215,slurm-5076215-multi,multi,none,1776993876109,1293044,122164,122164,294912,Phase 3.5,monitor_multi_none_run10_slurm-5076215-multi.csv
slurm-5076215,slurm-5076215-multi,multi,none,1776993876475,1272568,66772,66772,131072,Phase 4,monitor_multi_none_run10_slurm-5076215-multi.csv
slurm-5076215,slurm-5076215-multi,multi,none,1776993876840,1253616,59919,59919,131072,Phase 4,monitor_multi_none_run10_slurm-5076215-multi.csv
slurm-5076215,slurm-5076215-multi,multi,none,1776993877184,1253616,59919,59919,131072,Phase 4,monitor_multi_none_run10_slurm-5076215-multi.csv
slurm-5076215,slurm-5076215-multi,multi,none,1776993877565,1253616,59919,59919,131072,Phase 4,monitor_multi_none_run10_slurm-5076215-multi.csv
slurm-5076215,slurm-5076215-multi,multi,none,1776993877937,1253616,59919,59919,131072,Phase 4,monitor_multi_none_run10_slurm-5076215-multi.csv
slurm-5076215,slurm-5076215-multi,multi,none,1776993878284,1253616,59919,59919,131072,Phase 4,monitor_multi_none_run10_slurm-5076215-multi.csv
slurm-5076215,slurm-5076215-multi,multi,none,1776993878645,1253616,59919,59919,0,Phase 4,monitor_multi_none_run10_slurm-5076215-multi.csv
slurm-5076215,slurm-5076215-multi,multi,none,1776993879008,,0,0,0,Phase 4,monitor_multi_none_run10_slurm-5076215-multi.csv
slurm-5076215,slurm-5076215-multi,multi,none,1776993879347,,0,0,0,Phase 4,monitor_multi_none_run10_slurm-5076215-multi.csv
slurm-5076215,slurm-5076215-multi,multi,none,1776993879679,,0,0,0,Phase 4,monitor_multi_none_run10_slurm-5076215-multi.csv
slurm-5076215,slurm-5076215-multi,multi,none,1776993880039,,0,0,0,Phase 4,monitor_multi_none_run10_slurm-5076215-multi.csv
slurm-5076215,slurm-5076215-multi,multi,none,1776993880365,,0,0,0,Phase 4,monitor_multi_none_run10_slurm-5076215-multi.csv
slurm-5076215,slurm-5076215-multi,multi,none,1776993880692,,0,0,0,Phase 4,monitor_multi_none_run10_slurm-5076215-multi.csv
slurm-5076215,slurm-5076215-multi,multi,none,1776993881058,,0,0,0,Phase 4,monitor_multi_none_run10_slurm-5076215-multi.csv
slurm-5076215,slurm-5076215-multi,multi,none,1776993881396,,0,0,0,Phase 4,monitor_multi_none_run10_slurm-5076215-multi.csv
slurm-5076215,slurm-5076215-multi,multi,none,1776993881738,,0,0,0,Phase 4,monitor_multi_none_run10_slurm-5076215-multi.csv
slurm-5076215,slurm-5076215-multi,multi,none,1776993882066,,0,0,0,Phase 4,monitor_multi_none_run10_slurm-5076215-multi.csv
slurm-5076215,slurm-5076215-multi,multi,none,1776993882401,,0,0,0,Phase 4,monitor_multi_none_run10_slurm-5076215-multi.csv
slurm-5076215,slurm-5076215-multi,multi,none,1776993882747,,0,0,0,Phase 4,monitor_multi_none_run10_slurm-5076215-multi.csv
slurm-5076215,slurm-5076215-multi,multi,none,1776993883084,,0,0,0,Phase 4,monitor_multi_none_run10_slurm-5076215-multi.csv
slurm-5076215,slurm-5076215-multi,multi,none,1776993883424,,0,0,0,Phase 4,monitor_multi_none_run10_slurm-5076215-multi.csv
slurm-5076215,slurm-5076215-multi,multi,none,1776993883754,,0,0,0,Phase 4,monitor_multi_none_run10_slurm-5076215-multi.csv
slurm-5076215,slurm-5076215-multi,multi,none,1776993884109,,0,0,0,Phase 4,monitor_multi_none_run10_slurm-5076215-multi.csv
slurm-5076215,slurm-5076215-multi,multi,none,1776993884475,,0,0,0,Phase 4,monitor_multi_none_run10_slurm-5076215-multi.csv
slurm-5076215,slurm-5076215-multi,multi,none,1776993884822,,0,0,0,Phase 4,monitor_multi_none_run10_slurm-5076215-multi.csv
slurm-5076215,slurm-5076215-multi,multi,none,1776993885173,,0,0,0,Phase 4,monitor_multi_none_run10_slurm-5076215-multi.csv
slurm-5076215,slurm-5076215-multi,multi,none,1776993885509,,0,0,0,Phase 4,monitor_multi_none_run10_slurm-5076215-multi.csv
